台灣,#genre#
靖天育樂台,zlive://173.208.209.114:7719/427a3be28091bbe175326f04076a0b71#zlive://173.208.209.114:7719/427a3be28091bbe175326f04076a0b71,null
台視綜合台,zlive://173.208.209.114:7719/264093569ea4cd56fdd734c616f7a205#zlive://173.208.209.114:7719/264093569ea4cd56fdd734c616f7a205,0
龍華戲劇台,zlive://173.208.209.114:7719/a768433436738815f75978b651a4543a#zlive://173.208.209.114:7719/a768433436738815f75978b651a4543a,0
靖洋卡通,zlive://173.208.209.114:7719/16c9c459c8ec41da7a3cfc7e651893e9#zlive://173.208.209.114:7719/16c9c459c8ec41da7a3cfc7e651893e9,null
靖天日本台,zlive://173.208.209.114:7719/b9a26e6d4ad8ac013cfaebdae5a4d20a#zlive://173.208.209.114:7719/b9a26e6d4ad8ac013cfaebdae5a4d20a,null
AMC,zlive://173.208.209.114:7719/c9ecac27933f3e1b39d7047335b70207#zlive://173.208.209.114:7719/c9ecac27933f3e1b39d7047335b70207,null
CATCHPLAY電影台,zlive://173.208.209.114:7719/be4980cb7d22972f655d2e5876477d2f#zlive://173.208.209.114:7719/be4980cb7d22972f655d2e5876477d2f,null
Nick Jr,zlive://173.208.209.114:7719/44bcae3ceb76bf4d19778347a76b799c#zlive://173.208.209.114:7719/44bcae3ceb76bf4d19778347a76b799c,0
民視第一台,zlive://173.208.209.114:7719/e32558f07a8a2c336b4d9120ff358b42#zlive://173.208.209.114:7719/e32558f07a8a2c336b4d9120ff358b42,null
博斯無限二台,zlive://173.208.209.114:7719/5896ee1c251db79a975501afb764e18c#zlive://173.208.209.114:7719/5896ee1c251db79a975501afb764e18c,null
尼克兒童台,zlive://173.208.209.114:7719/680dbc6f0d03c641335328896c983cc8#zlive://173.208.209.114:7719/680dbc6f0d03c641335328896c983cc8,0
Lifetime娛樂頻道,zlive://173.208.209.114:7719/0298fb24132f9e238d9d59b1df6bd1bd#zlive://173.208.209.114:7719/0298fb24132f9e238d9d59b1df6bd1bd,null
Love Nature,zlive://173.208.209.114:7719/1894dc47f4a5b1613311a72c046cadd7#zlive://173.208.209.114:7719/1894dc47f4a5b1613311a72c046cadd7,null
八大精彩,zlive://173.208.209.114:7719/3eba37513c7dd975f225c287c91eb342#zlive://173.208.209.114:7719/3eba37513c7dd975f225c287c91eb342,null
八大綜藝,zlive://173.208.209.114:7719/39ec579976584ca332abb04d0d089c3c#zlive://173.208.209.114:7719/39ec579976584ca332abb04d0d089c3c,null
龍華電影台,zlive://173.208.209.114:7719/8be3e7d196e433a7a2c2ccf354760cdd#zlive://173.208.209.114:7719/8be3e7d196e433a7a2c2ccf354760cdd,null
靖天戲劇台,zlive://173.208.209.114:7719/ec5591b706a97d86e416d578aa70d9a3#zlive://173.208.209.114:7719/ec5591b706a97d86e416d578aa70d9a3,null
靖天綜合台,zlive://173.208.209.114:7719/19b3a94c88ec2b71f938f3967f94b4ae#zlive://173.208.209.114:7719/19b3a94c88ec2b71f938f3967f94b4ae,null
靖天映畫,zlive://173.208.209.114:7719/099bacaf4f2361babe3c9c2ba7dbb154#zlive://173.208.209.114:7719/099bacaf4f2361babe3c9c2ba7dbb154,null
靖天歡樂台,zlive://173.208.209.114:7719/8a2a605fa7224d93c8c00385d5b69874#zlive://173.208.209.114:7719/8a2a605fa7224d93c8c00385d5b69874,null
Cbeebies HD,zlive://173.208.209.114:7719/ed52263222cdfec5f38a87da86ddd57f#zlive://173.208.209.114:7719/ed52263222cdfec5f38a87da86ddd57f,null
Discovery HD,zlive://173.208.209.114:7719/f874001e277052be6fbd95d7edbe7ce3#zlive://173.208.209.114:7719/f874001e277052be6fbd95d7edbe7ce3,0
龍華經典台(Li),zlive://173.208.209.114:7719/9fd2374a9d4bd978975338583e181d50#zlive://173.208.209.114:7719/9fd2374a9d4bd978975338583e181d50,null
龍華偶像台(Li)(備用),zlive://173.208.209.114:7719/2eaad76cdd9effeb29f59a65f7951fa3#zlive://173.208.209.114:7719/2eaad76cdd9effeb29f59a65f7951fa3,null
龍華偶像,zlive://173.208.209.114:7719/4c31dbabbd38853561a606117fa75dcc#zlive://173.208.209.114:7719/4c31dbabbd38853561a606117fa75dcc,0
CNN國際新聞台,zlive://173.208.209.114:7719/b6cc116e1c87d00ffe97fb76dd940626#zlive://173.208.209.114:7719/b6cc116e1c87d00ffe97fb76dd940626,null
CNN頭條新聞台,zlive://173.208.209.114:7719/27feb247317a8f1ad10d8c2972a7b175#zlive://173.208.209.114:7719/27feb247317a8f1ad10d8c2972a7b175,null
龍華卡通台,zlive://173.208.209.114:7719/c5bc4c7e4f401f9ecc70a753f38ecbcf#zlive://173.208.209.114:7719/c5bc4c7e4f401f9ecc70a753f38ecbcf,null
寰宇新聞台灣台,zlive://173.208.209.114:7719/5dd7839861953645d87d9af4a7afd39d#zlive://173.208.209.114:7719/5dd7839861953645d87d9af4a7afd39d,null
龍華經典台,zlive://173.208.209.114:7719/5d21217a3711fb1111d2394c3955b76a#zlive://173.208.209.114:7719/5d21217a3711fb1111d2394c3955b76a,null
KMTV,zlive://173.208.209.114:7719/f15a77c1db2f806fc8493c6f92ade289#zlive://173.208.209.114:7719/f15a77c1db2f806fc8493c6f92ade289,null
Baby First,zlive://173.208.209.114:7719/cda3eb3370e9958f13ef2692ba85996e#zlive://173.208.209.114:7719/cda3eb3370e9958f13ef2692ba85996e,null
歐洲新聞,zlive://173.208.209.114:7719/79cbdcdcaf7235321951d054ac34a6f1#zlive://173.208.209.114:7719/79cbdcdcaf7235321951d054ac34a6f1,null
原住民,zlive://173.208.209.114:7719/41cbf52ca46cf6b01df090e0c237c654#zlive://173.208.209.114:7719/41cbf52ca46cf6b01df090e0c237c654,null
NHK_WORLD,zlive://173.208.209.114:7719/9cb6f721bc9541d1252269db85cfe210#zlive://173.208.209.114:7719/9cb6f721bc9541d1252269db85cfe210,null
FoodNetwork,zlive://173.208.209.114:7719/6f1064bb1117252b9310a1d2f427dd13#zlive://173.208.209.114:7719/6f1064bb1117252b9310a1d2f427dd13,null
高點綜合,zlive://173.208.209.114:7719/d71e8cc2e22f89495913bf36743a6a6b#zlive://173.208.209.114:7719/d71e8cc2e22f89495913bf36743a6a6b,null
台灣戲劇臺,zlive://173.208.209.114:7719/2ecf520607891b9300ab8acf684f1fc5#zlive://173.208.209.114:7719/2ecf520607891b9300ab8acf684f1fc5,null
佛衛慈悲台,zlive://173.208.209.114:7719/1ccaf942a2789765e544618cf308d7e7#zlive://173.208.209.114:7719/1ccaf942a2789765e544618cf308d7e7,null
EUROSPORT,zlive://173.208.209.114:7719/27c0c49a707691cb0ec33edabc8658b1#zlive://173.208.209.114:7719/27c0c49a707691cb0ec33edabc8658b1,null
影迷數位電影台,zlive://173.208.209.114:7719/ceda73ba43db67d9860079434a136a80#zlive://173.208.209.114:7719/ceda73ba43db67d9860079434a136a80,null
My Cinema Europe HD,zlive://173.208.209.114:7719/cf55cea7cf0f413939c66a63b8f0edd3#zlive://173.208.209.114:7719/cf55cea7cf0f413939c66a63b8f0edd3,null
Bloomberg,zlive://173.208.209.114:7719/5b9920a3bb74ff93167d5be3bee4f25f#zlive://173.208.209.114:7719/5b9920a3bb74ff93167d5be3bee4f25f,0
CHANNEL_NEWSASIA,zlive://173.208.209.114:7719/a82e0e4fa34a6a9613ea0979cb21ca39#zlive://173.208.209.114:7719/a82e0e4fa34a6a9613ea0979cb21ca39,0
BOOMERANG,zlive://173.208.209.114:7719/700f5ff193a38e9de483f57338149fff#zlive://173.208.209.114:7719/700f5ff193a38e9de483f57338149fff,0
天良,zlive://173.208.209.114:7719/1cfe3f4da9b13de1faf670250ee7c8a2#zlive://173.208.209.114:7719/1cfe3f4da9b13de1faf670250ee7c8a2,0
信大 HD,zlive://173.208.209.114:7719/#zlive://173.208.209.114:7719/,0
Afn,zlive://173.208.209.114:7719/8d0a81d3812a30a370208c49335cd50c#zlive://173.208.209.114:7719/8d0a81d3812a30a370208c49335cd50c,0
NHKBS2,zlive://173.208.209.114:7719/02410799be061cbef74585a25aac206a#zlive://173.208.209.114:7719/02410799be061cbef74585a25aac206a,0
NHKBS1,zlive://173.208.209.114:7719/9e3af2789887adf5dc4e8746990c2f95#zlive://173.208.209.114:7719/9e3af2789887adf5dc4e8746990c2f95,0

鎖碼_8888,#genre#
松視1台,zlive://173.208.209.114:7719/9bae9e9cf38740232eecb38955a1834f
松視2台,zlive://173.208.209.114:7719/5066d14f19396dd0f9281f078226975f&max
松視3台,zlive://173.208.209.114:7719/28843227d999f53949936ebaff556993
香蕉台,zlive://173.208.209.114:7719/0bca98ee467f096a1425aa34bedb24&max
驚艷成人電影,zlive://173.208.209.114:7719/346927a489115b68c95dd346c218d100
Happy,zlive://173.208.209.114:7719/110911c8fa7491d9fd22e1a0a6fef7b0
彩虹電影,zlive://173.208.209.114:7719/1227bfd3814100acf32afa0ed363e826
潘朵拉,zlive://173.208.209.114:7719/6cb8d236c1d69e783f243ff17f75353a&max
