台灣,#genre#
TVBS歡樂(備),zlive://173.208.209.114:7719/7db6b1246a8df8d5c93d39e2b7e3c10f#zlive://173.208.209.114:7719/7db6b1246a8df8d5c93d39e2b7e3c10f,null
TVBS歡樂 HD,zlive://173.208.209.114:7719/fc5453132936752464de4b1a8027a4c9#zlive://173.208.209.114:7719/fc5453132936752464de4b1a8027a4c9,0
緯來戲劇,zlive://173.208.209.114:7719/b9873cf62d93eb57f0fd5efc1aa8236e#zlive://173.208.209.114:7719/b9873cf62d93eb57f0fd5efc1aa8236e,null
JET_綜合,zlive://173.208.209.114:7719/c8f84384c0fbfd0c2657f1ac0ff75858#zlive://173.208.209.114:7719/c8f84384c0fbfd0c2657f1ac0ff75858,null
壹電視新聞,zlive://173.208.209.114:7719/dcec33276869fa2f3de9ee55cae570ea#zlive://173.208.209.114:7719/dcec33276869fa2f3de9ee55cae570ea,0
壹電視新聞(備),zlive://173.208.209.114:7719/0a0db70f0493723dec7236a0d4c4d331#zlive://173.208.209.114:7719/0a0db70f0493723dec7236a0d4c4d331,0
年代新聞HD,zlive://173.208.209.114:7719/02be79ee3cab3d5bd26febc72f552262#zlive://173.208.209.114:7719/02be79ee3cab3d5bd26febc72f552262,0
東森新聞 HD(備),zlive://173.208.209.114:7719/31559e246f7181f77750161849299d34#zlive://173.208.209.114:7719/31559e246f7181f77750161849299d34,null
東森新聞,zlive://173.208.209.114:7719/8d7e905f7702d188c33334b384a381e5#zlive://173.208.209.114:7719/8d7e905f7702d188c33334b384a381e5,0
中天新聞HD,zlive://173.208.209.114:7719/9011998207735731140a6271e559d549#zlive://173.208.209.114:7719/9011998207735731140a6271e559d549,0
中天新聞台(備),zlive://173.208.209.114:7719/6cbf5b995ccd82f89c12e860e5d734bb#zlive://173.208.209.114:7719/6cbf5b995ccd82f89c12e860e5d734bb,null
民視新聞台,zlive://173.208.209.114:7719/ba2496e9af40f22a3f6e72b59a4e4994#zlive://173.208.209.114:7719/ba2496e9af40f22a3f6e72b59a4e4994,null
三立財經新聞iNEWS,zlive://173.208.209.114:7719/7046807cc2f302c3c89e892dee7c97d2#zlive://173.208.209.114:7719/7046807cc2f302c3c89e892dee7c97d2,0
三立財經新聞iNEWS(備),zlive://173.208.209.114:7719/eed57291cb77e08ce4c1a29c1ff59916#zlive://173.208.209.114:7719/eed57291cb77e08ce4c1a29c1ff59916,0
tvbs新聞,zlive://173.208.209.114:7719/f025fd26c0953b8931be3d29ab7a4a8c#zlive://173.208.209.114:7719/f025fd26c0953b8931be3d29ab7a4a8c,0
TVBS新聞(備),zlive://173.208.209.114:7719/34ef8e687b76e288ec2abadcc1069add#zlive://173.208.209.114:7719/34ef8e687b76e288ec2abadcc1069add,null
三立新聞,zlive://173.208.209.114:7719/cb578e93b0abf2b0f7a4af00edcd7ec3#zlive://173.208.209.114:7719/cb578e93b0abf2b0f7a4af00edcd7ec3,0
TVBS綜合,zlive://173.208.209.114:7719/fbcd476a413272ab369eb15ed0a6913a#zlive://173.208.209.114:7719/fbcd476a413272ab369eb15ed0a6913a,null
東森財經新聞,zlive://173.208.209.114:7719/ae8e36a4143055dde21ec1cb5a55d6fb#zlive://173.208.209.114:7719/ae8e36a4143055dde21ec1cb5a55d6fb,0
非凡新聞台,zlive://173.208.209.114:7719/00424222992c33875f094c2b5b71b0e5#zlive://173.208.209.114:7719/00424222992c33875f094c2b5b71b0e5,null
衛視電影台,zlive://173.208.209.114:7719/03e63c6a4b1a889828fe635b7cb95ad9#zlive://173.208.209.114:7719/03e63c6a4b1a889828fe635b7cb95ad9,null
東森電影,zlive://173.208.209.114:7719/5dc91cf3ae11a12284dde84cfb43aadc#zlive://173.208.209.114:7719/5dc91cf3ae11a12284dde84cfb43aadc,null
緯來電影,zlive://173.208.209.114:7719/6b32d12e5db3297c2e877d944b40e8d0#zlive://173.208.209.114:7719/6b32d12e5db3297c2e877d944b40e8d0,null
龍祥電影,zlive://173.208.209.114:7719/651289fe1531fc0311a2b2d51e082d4e#zlive://173.208.209.114:7719/651289fe1531fc0311a2b2d51e082d4e,null
龍詳時代,zlive://173.208.209.114:7719/6fdebee600c716dacc9b051349e1a3ee#zlive://173.208.209.114:7719/6fdebee600c716dacc9b051349e1a3ee,0
HBO,zlive://173.208.209.114:7719/d700c8affdfd8daea555a4cc15da76b5#zlive://173.208.209.114:7719/d700c8affdfd8daea555a4cc15da76b5,0
東森洋片,zlive://173.208.209.114:7719/e4cc3b1375cab1a07ed2dabd18203bfa#zlive://173.208.209.114:7719/e4cc3b1375cab1a07ed2dabd18203bfa,null
AXN HD,zlive://173.208.209.114:7719/7038b5469835a02c6981a46e9bfa8dcb#zlive://173.208.209.114:7719/7038b5469835a02c6981a46e9bfa8dcb,null
好萊塢電影,zlive://173.208.209.114:7719/1bb79f0c713ea737ec1c4e744f556052#zlive://173.208.209.114:7719/1bb79f0c713ea737ec1c4e744f556052,null
CINEMAX,zlive://173.208.209.114:7719/f01aa1ab18e8f59bfcbf3d742e49c42a#zlive://173.208.209.114:7719/f01aa1ab18e8f59bfcbf3d742e49c42a,null
緯來體育,zlive://173.208.209.114:7719/0bb66c411f20b81d984ff3d234b8da52#zlive://173.208.209.114:7719/0bb66c411f20b81d984ff3d234b8da52,null
緯來育樂,zlive://173.208.209.114:7719/3cf87fa9d3d1fcb3d89cad75ca4fdbb2#zlive://173.208.209.114:7719/3cf87fa9d3d1fcb3d89cad75ca4fdbb2,null
緯來日本,zlive://173.208.209.114:7719/ba4717b85946c0713abc9beb45549660#zlive://173.208.209.114:7719/ba4717b85946c0713abc9beb45549660,null
國興衛視,zlive://173.208.209.114:7719/3777f119417a24104c7d79611e28f71d#zlive://173.208.209.114:7719/3777f119417a24104c7d79611e28f71d,null
Z頻道,zlive://173.208.209.114:7719/87f7b858ac2c05fed6438b8af17d2c78#zlive://173.208.209.114:7719/87f7b858ac2c05fed6438b8af17d2c78,null
國家地理,zlive://173.208.209.114:7719/8a31d6c82b51182a3eef4d954416e1b7#zlive://173.208.209.114:7719/8a31d6c82b51182a3eef4d954416e1b7,null
CNN_HD,zlive://173.208.209.114:7719/0d17a9fddd16689d2a53d429238ffb65#zlive://173.208.209.114:7719/0d17a9fddd16689d2a53d429238ffb65,null
八大娛樂,zlive://173.208.209.114:7719/94cb92931b3baf8a70c9ab4af4458302#zlive://173.208.209.114:7719/94cb92931b3baf8a70c9ab4af4458302,null
