台灣備用,#genre#
MOMO親子臺,http://iptv12k.com:35461/live/80301070602/456776/1209.m3u8
DW,http://iptv12k.com:35461/live/80301070602/456776/1208.m3u8
歷史頻道History 1,http://iptv12k.com:35461/live/80301070602/456776/1206.m3u8
MTV LIVE,http://iptv12k.com:35461/live/80301070602/456776/1205.m3u8
大愛電視,http://iptv12k.com:35461/live/80301070602/456776/1204.m3u8
大愛二台,http://iptv12k.com:35461/live/80301070602/456776/1203.m3u8
人間衛視,http://iptv12k.com:35461/live/80301070602/456776/1202.m3u8
歷史頻道2 History 2,http://iptv12k.com:35461/live/80301070602/456776/1201.m3u8
新唐人亞太台,http://iptv12k.com:35461/live/80301070602/456776/1200.m3u8
年代新聞 NEWS,http://iptv12k.com:35461/live/80301070602/456776/1359.m3u8
三立inews NEWS,http://iptv12k.com:35461/live/80301070602/456776/1358.m3u8
中天新聞 NEWS,http://iptv12k.com:35461/live/80301070602/456776/1357.m3u8
東森財經 NEWS東森財經新聞,http://iptv12k.com:35461/live/80301070602/456776/1356.m3u8
CNBC NEWS,http://iptv12k.com:35461/live/80301070602/456776/1355.m3u8
SBN全球財經台 NEWS,http://iptv12k.com:35461/live/80301070602/456776/1354.m3u8
東森新聞 NEWS,http://iptv12k.com:35461/live/80301070602/456776/1353.m3u8
